"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"206" "ATP23" "GO:0005740" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"207" "ATP25" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"208" "ATP3" "GO:0005739" "GO:0016021" "GO:0045261" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"209" "ATP4" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"210" "ATP5" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"211" "ATP6" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"212" "ATP7" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"213" "ATP8" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"214" "ATR1" "GO:0005886" "GO:0016021" "GO:0005773" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"215" "ATX2" "GO:0016021" "GO:0000139" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"216" "AUR1" "GO:0016021" "GO:0005794" "GO:0070916" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"217" "AUS1" "GO:0005739" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"218" "AVL9" "GO:0005737" "GO:0005934" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"219" "AVO1" "GO:0005886" "GO:0031932" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"220" "AVO2" "GO:0031932" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
