"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"78" "ALG11" "GO:0006486" "GO:0006490" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" "ALG12" "GO:1901137" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" "ALG3" "GO:0006486" "GO:0006490" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "ALG6" "GO:0006486" "GO:0009060" "GO:0006490" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"82" "ALG7" "GO:0009060" "GO:0006487" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"83" "ALG8" "GO:0006490" "GO:0006487" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"84" "ALG9" "GO:1901137" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"85" "ALK1" "GO:0007067" "GO:0006468" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"86" "ALK2" "GO:0006468" "GO:0000280" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"87" "ALO1" "GO:0034599" "GO:0070485" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"88" "ALR1" "GO:0006812" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"89" "ALR2" "GO:0055085" "GO:0006812" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"90" "ALT1" "GO:0001300" "GO:0006522" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"91" "ALY1" "GO:0032386" "GO:0006897" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"92" "ALY2" "GO:0032386" "GO:2000397" "GO:0070086" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"93" "AMA1" "GO:0045732" "GO:0006508" "GO:0007127" "GO:0045132" "GO:0030437" "GO:0044778" NA NA NA NA NA NA NA NA NA NA NA NA NA
"94" "AMD1" "GO:0072521" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"95" "AME1" "GO:0034613" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"96" "AMN1" "GO:0001100" "GO:0007093" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"97" "AMS1" "GO:0009313" "GO:0044262" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"98" "ANB1" "GO:0006412" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
